element,id,amenity,building,name,name:en,name:sr,name:sr-Latn,website,addr:housenumber,addr:street,check_date,int_name,mapillary,payment:cards,payment:cash,payment:credit_cards,payment:debit_cards,ref:RS:kucni_broj,shop,denomination,image,office,toilets:wheelchair,tourism,wheelchair,building:levels,addr:postcode,opening_hours,roof:colour,religion,alt_name,heritage,heritage:RS:criteria,heritage:RS:inscription_date,heritage:RS:jurisdiction,heritage:RS:name,heritage:website,protect_class,ref:RS:nkd,wikidata,wikipedia,architect,start_date,year_of_construction,addr:city,school,leisure,sport,indoor_seating,outdoor_seating,phone,emergency,healthcare,healthcare:speciality,email,height,operator,power,fax,old_name,old_name:sr,old_name:sr-Latn,operator:type,beds,loc_name,survey:date,access,man_made,official_name,official_name:en,official_name:sr,official_name:sr-Latn,fee,park_ride,parking,source,disused:shop,internet_access,stars,roof:levels,disused:railway,industrial,plant:method,plant:output:electricity,plant:output:heat,plant:source,disused,land_area,nohousenumber,education,historic,fuel:lpg,air_conditioning,description,level,brand,brand:wikidata,brand:wikipedia,internet_access:fee,government,roof:shape,toilets,disused:amenity,building:prefabricated,building:material,roof:height,addr:province,name:fr,name:ru,shelter,contact:facebook,contact:instagram,contact:twitter,contact:youtube,rooms,name:hu,photo,contact:email,contact:phone,contact:website,fuel:diesel,fuel:octane_100,fuel:octane_95,payment:app,payment:eurowag,payment:mastercard,payment:snnp,payment:uta,payment:visa,toilets:access,name:tr,name:pl,name:he,note,branch,brand:en,brand:sr,ref,building:floor_area,operator:wikidata,social_facility,social_facility:for,church:type,diocese,parish,bus,has_waiting_area,public_transport,cuisine,castle_type,product,bar,brewery,capacity,smoking,substation,addr:country,community_centre:for,military,brand:sr-Latn,indoor,designation,name:sk,building:colour,addr:housename,layer,abandoned,disused:name,addr:pak,operator:website,operator:wikipedia,landuse_1,building:use,demolished:building,wikimedia_commons,building:levels:underground,studio,admin_level,loc_name:sr,loc_name:sr-Latn,name:hr,name:ro,name:rue,atm,drive_through,check_date:opening_hours,compressed_air,fuel:GTL_diesel,opening_hours:drive_through,takeaway,short_name,short_name:sr,short_name:sr-Latn,fixme,townhall:type,self_service,shelter_type,building:flats,preschool,automated,construction,removed:ref:RS:kucni_broj,grades,police,name:nl,consulate,country,diplomatic,name:de,target,mobile,guest_house,residential,payment:apple_pay,payment:google_pay,craft,payment:contactless,fuel:octane_91,alt_name:sr,car_wash,fuel:adblue,second_hand,loc_name:en,not:brand:wikidata,service:vehicle:brakes,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:oil_change,service:vehicle:repairs,service:vehicle:transmission,gambling,area,currency:RSD,diet:halal,organic,payment:cheque,changing_table,internet_access:ssid,toilets:disposal,toilets:hands_drying,toilets:handwashing,toilets:position,url,club,seamark:hulk:category,seamark:type,opening_date,building:window,payment:omv_card,payment:routex,inscription,material,charge,information,utility,covered,location,landcover,bicycle_parking,building:part,bridge:support,type,blood:plasma,blood:platelets,blood:stemcells,blood:whole,donation:compensation,name:rsk,name:es,name:zh,alt_name:sr-Latn,alt_name:en,osm_povrsina_m2,landuse_2
way,333232084,,house,,,,,,28a,Крагујевачка,,,,,,,,5515802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.96,farmland
way,333237551,,house,,,,,,2,Славуја Хаџића,,,,,,,,5493458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.03,farmyard
way,349011683,,house,,,,,,48,Руменачки пут,,,,,,,,,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.32,farmyard
way,349011685,,house,,,,,,46,Руменачки пут,,,,,,,,5470670,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.82,farmyard
way,349498747,,warehouse,Складиште „Дак комерц”,,,Skladište „Dak komerc”,,,,,Skladiste „Dak komerc”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629.23,farmland
way,350196281,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.82,farmland
way,350622696,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.43,farmland
way,353157446,,house,,,,,,7,Ержебет Берчек,,,,,,,,,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.78,farmland
way,353163021,,house,,,,,,38,Стевана Голдмана,,,,,,,,7357753,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.44,farmland
way,353189550,,house,,,,,,47,Јадранска,,,,,,,,6935727,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.25,farmland
