status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id,index_right,objekat_id,broj_dozvole,namjena_objekta
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,334.5,1.29,0.59,81.75,351,ADICA-TEST-56,Adica,1,True,211,61,211,ROP-ADICA-TEST-56,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,348.0,1.36,0.53,85.95,347,ADICA-TEST-52,Adica,1,True,207,57,207,ROP-ADICA-TEST-52,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,559.5,1.17,0.53,132.89,309,ADICA-TEST-14,Adica,1,True,169,18,169,ROP-ADICA-TEST-14,stambeni
Podudara se sa legalnim objektom,0.805,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,445.0,1.15,0.35,100.72,332,ADICA-TEST-37,Adica,1,True,192,42,192,ROP-ADICA-TEST-37,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,223.0,1.12,0.77,53.78,403,ADICA-TEST-108,Adica,1,True,263,112,263,ROP-ADICA-TEST-108,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,316.0,2.31,0.53,76.59,355,ADICA-TEST-60,Adica,1,True,215,65,215,ROP-ADICA-TEST-60,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,453.0,1.38,0.74,106.24,329,ADICA-TEST-34,Adica,1,True,189,38,189,ROP-ADICA-TEST-34,stambeni
Podudara se sa legalnim objektom,0.81,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,421.0,1.3,0.36,99.88,333,ADICA-TEST-38,Adica,1,True,193,43,193,ROP-ADICA-TEST-38,stambeni
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,458.0,1.12,0.61,110.44,322,ADICA-TEST-27,Adica,1,True,182,31,182,ROP-ADICA-TEST-27,stambeni
Podudara se sa legalnim objektom,0.837,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,319.0,1.32,0.39,76.95,354,ADICA-TEST-59,Adica,1,True,214,64,214,ROP-ADICA-TEST-59,stambeni
Podudara se sa legalnim objektom,0.831,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,250.5,3.36,0.38,59.54,403,ADICA-TEST-108,Adica,1,True,250,99,250,ROP-ADICA-TEST-95,stambeni
